ProductName,StockLevel,ReorderThreshold,DaysSinceRestock
Laptop_X1,15,20,35
Monitor_Pro,45,30,10
Keyboard_Mech,8,15,42
Mouse_Wireless,55,25,5
Webcam_HD,18,20,25
Headset_Pro,12,18,38
USB_Hub,30,20,15
Cable_HDMI,60,40,8
Adapter_USB,22,25,12
Charger_Universal,10,15,45
SSD_500GB,25,30,20
RAM_16GB,5,10,50
Router_Dual,40,35,7
Switch_8Port,14,20,32
Modem_Cable,8,12,55
Printer_Laser,20,25,18
Scanner_Flat,35,30,10
Projector_HD,6,10,48
Tablet_10inch,12,15,40
Stylus_Digital,50,40,6
Docking_Station,7,12,52
Cooling_Pad,28,25,14
Backpack_Laptop,45,30,9
Stand_Monitor,18,20,28
Light_LED,32,30,11
Battery_External,9,15,44
Speaker_Bluetooth,24,20,16
Microphone_USB,16,18,22
Trackpad_Magic,11,15,36
Display_Port,40,35,8
Screen_Protector,55,45,5
Cleaner_Screen,30,25,12
Bag_Sleeve,20,18,19
Organizer_Cable,38,30,10
Riser_Laptop,13,20,33
Mat_Desk,26,22,15
Lamp_Desk,19,16,27
Fan_Desk,15,18,31
Rest_Wrist,42,35,9
Pad_Mouse,48,40,7
Grip_Cable,22,20,17
Hook_Headphone,34,28,13
Holder_Phone,16,15,24
Mount_Wall,10,14,41
Arm_Monitor,8,12,49
Box_Storage,25,22,16
Divider_Drawer,30,26,14
Tray_Document,28,24,18
Shelf_Desk,12,16,37
Frame_Photo,35,30,10
